is_goal,match_event_id,location_x,location_y,remaining_min,power_of_shot1,knockout_match2,game_season,remaining_sec1,distance_of_shot1,area_of_shot,shot_basics,range_of_shot,team_name,date_of_game,home_away,shot_id_number,lat_lng,type_of_shot,type_of_combined_shot,match_id,team_id,remaining_min.1,power_of_shot,knockout_match1,remaining_sec2,distance_of_shot2
0,,-49,,7,3,0,2014-15,14,39,Center(C),Mid Range,16-24 ft.,,14-12-2014,MANU @ MIN,21600,"46.667324, -94.419250",shot - 3,shot - 3,21400351,1610612747,38.2,3,0,29.2,38.4
0,505,-59,191,1,4,0,2002-03,9,39,Center(C),Mid Range,16-24 ft.,Manchester United,04-01-2003,MANU @ PHX,3848,"33.552026, -112.071667",shot - 48,,20200471,1610612747,87.64,4,,,39
1,309,0,0,2,3,,1997-98,58,20,Center(C),Goal Area,Less Than 8 ft.,Manchester United,17-12-1997,MANU @ CHI,23603,"41.845137, -87.660450",shot - 39,,29700335,1610612747,74.64,3,,,20
0,106,6,242,0,1,1,2007-08,21,44,Center(C),Penalty Spot,24+ ft.,Manchester United,17-06-2008,MANU @ BOS,28487,"42.330507, -71.074655",shot - 50,,40700406,1610612747,0,1,1,21,111.728
0,284,-120,82,9,3,1,2003-04,36,34,Left Side(L),Mid Range,8-16 ft.,Manchester United,31-05-2004,MANU vs. MIN,27641,,shot - 3,shot - 3,40300316,1610612747,9,,1,36,34
0,566,165,20,0,4,0,2014-15,27,36,Right Side(R),Mid Range,16-24 ft.,Manchester United,31-10-2014,MANU vs. LAC,21131,"42.982923, -71.446094",shot - 38,,21400026,1610612747,0,4,0,27,36
0,94,-124,214,4,1,0,2015-16,16,44,Left Side Center(LC),Penalty Spot,24+ ft.,Manchester United,22-12-2015,MANU @ DEN,22185,"39.739968, -104.954013",shot - 3,shot - 3,21500422,1610612747,33.2,1,0,16,44
1,312,-79,,8,3,0,2010-11,36,28,Left Side(L),Goal Line,8-16 ft.,Manchester United,03-12-2010,MANU vs. SAC,16851,"42.982923, -71.446094",shot - 15,,21000287,1610612747,8,3,0,119.2,28
1,331,105,230,,3,0,,7,45,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,09-11-2007,MANU vs. MIN,11562,"42.982923, -71.446094",shot - 36,,20700076,1610612747,4,3,0,7,45
1,176,-136,74,5,2,0,2004-05,3,35,Left Side(L),Mid Range,8-16 ft.,Manchester United,07-01-2005,MANU vs. HOU,6866,"42.982923, -71.446094",shot - 3,shot - 3,20400477,1610612747,5,2,115.608,3,35
0,7,9,250,10,1,0,2010-11,54,45,Center(C),Penalty Spot,24+ ft.,Manchester United,12-01-2011,MANU @ GSW,17198,"37.754130, -122.437947",shot - 3,shot - 3,21000571,1610612747,10,1,0,54,45
1,353,204,0,10,4,0,,59,40,Right Side(R),Mid Range,16-24 ft.,Manchester United,16-11-2005,MANU vs. NYK,7742,"42.982923, -71.446094",shot - 3,shot - 3,20500114,1610612747,,86.36,0,59,40
0,459,153,188,7,4,0,2015-16,36,44,Right Side Center(RC),Penalty Spot,24+ ft.,Manchester United,02-12-2015,MANU @ WAS,22051,"38.919619, -77.015211",shot - 2,,21500269,1610612747,77.64,4,0,36,44
